227, -936, 580
293, -876, 621
293, -876, 621
326, -912, 644
335, -972, 543
310, -1009, 602
248, -1124, 726
244, -1209, 807
-,-,-
-103, -916, 543
-103, -916, 583
-57, -940, 583
-115, -1050, 673
-202, -1188, 679
-255, -1274, 567
-305, -1330, 557
-370, -1390, 680
-426, -1415, 710
-432, -1361, 663
-400, -1261, 571
-385, -1187, 532
-382, -1129, 512
-386, -1085, 515
-382, -1027, 514
-354, -974, 479
-336, -962, 444
-332, -957, 467
-318, -970, 409
-318, -971, 291
-312, -990, 306
-336, -1028, 353
-285, -930, 305
-227, -853, 377
-181, -802, 314
-164, -760, 230
-164, -760, 230
-178, -779, 211
-138, -742, 195
-65, -668, 141
-39, -660, 74
-33, -704, 136
-13, -736, 180
22, -709, 108
69, -645, 115
69, -645, 115
132, -590, 140
136, -635, 158
102, -703, 199
120, -674, 122
166, -613, 126
238, -578, 139
238, -578, 139
240, -601, 74
231, -596, 81
242, -511, 157
238, -446, 244
226, -544, 307
113, -813, 320
113, -813, 320
68, -918, 74
203, -738, -19
373, -594, 90
370, -719, 294
242, -910, 394
259, -886, 391
259, -886, 391
439, -699, 425
501, -623, 475
440, -697, 542
388, -812, 703
413, -782, 672
483, -626, 520
498, -582, 509
498, -582, 509
398, -769, 561
433, -788, 592
455, -708, 642
414, -833, 724
378, -974, 772
391, -953, 695
414, -841, 721
414, -841, 721
442, -830, 879
369, -929, 928
-,-,-
11, -858, 695
16, -959, 461
-9, -986, 434
-9, -986, 434
-67, -1106, 562
-95, -1177, 539
-67, -1139, 551
-55, -1147, 603
-111, -1274, 666
-148, -1345, 692
-183, -1341, 669
-211, -1314, 732
-213, -1261, 767
-224, -1205, 741
-238, -1158, 745
-266, -1113, 652
-270, -1054, 555
-213, -922, 553
-196, -860, 546
-227, -878, 550
-247, -894, 477
-275, -914, 370
-275, -914, 370
-300, -898, 337
-303, -873, 377
-262, -836, 359
-302, -899, 388
-326, -924, 382
-287, -845, 280
-246, -781, 152
-187, -703, 162
-156, -672, 188
-107, -634, 125
-52, -605, 36
-50, -630, 49
-50, -630, 49
-21, -594, 72
57, -548, 162
99, -565, 160
69, -618, 85
69, -618, 85
71, -615, 170
121, -567, 212
153, -495, 194
180, -433, 203
201, -415, 191
201, -415, 191
262, -420, 198
315, -456, 62
322, -505, -64
309, -599, 130
338, -639, 374
391, -593, 352
457, -522, 384
457, -522, 384
406, -619, 514
365, -669, 602
375, -680, 655
374, -661, 553
374, -638, 607
390, -729, 710
495, -707, 598
495, -707, 598
565, -638, 627
532, -811, 758
431, -1023, 833
413, -991, 913
384, -976, 871
453, -967, 820
550, -1001, 932
-,-,-
-37, -918, 714
-42, -1039, 534
-42, -1039, 534
-102, -1075, 399
-105, -1121, 506
-124, -1156, 628
-150, -1205, 774
-183, -1291, 876
-218, -1348, 761
-181, -1318, 701
-142, -1283, 646
-149, -1257, 688
-132, -1182, 737
-131, -1116, 649
-166, -1134, 618
-180, -1112, 567
-196, -1093, 554
-190, -1044, 551
-204, -1006, 506
-228, -991, 437
-223, -938, 412
-219, -930, 324
-182, -890, 269
-129, -770, 313
-82, -668, 254
-62, -625, 150
-76, -617, 172
-76, -617, 172
-71, -612, 201
-31, -619, 114
-5, -627, 44
48, -585, 81
115, -535, 129
115, -535, 129
149, -551, 124
115, -632, 97
108, -652, 87
133, -623, 176
187, -572, 147
206, -542, 136
249, -542, 184
249, -557, 184
293, -600, 172
256, -676, 193
263, -621, 201
361, -512, 175
474, -484, 160
474, -531, 139
405, -637, 257
405, -637, 257
373, -715, 332
373, -677, 432
466, -559, 469
522, -559, 424
397, -719, 474
329, -732, 404
352, -649, 470
352, -649, 470
569, -517, 551
548, -660, 551
365, -844, 644
391, -800, 628
422, -724, 633
378, -765, 690
376, -863, 751
376, -863, 751
425, -1003, 833
408, -1104, 854
-,-,-
84, -949, 681
33, -1019, 501
12, -1087, 440
-58, -1159, 572
-68, -1130, 757
-128, -1196, 762
-152, -1263, 700
-175, -1257, 610
-145, -1218, 615
-183, -1248, 781
-230, -1303, 766
-219, -1237, 692
-172, -1153, 630
-182, -1124, 573
-182, -1124, 573
-180, -1046, 660
-146, -992, 644
-153, -987, 556
-169, -939, 447
-162, -897, 397
-168, -870, 449
-131, -778, 456
-129, -720, 336
-125, -683, 294
-97, -691, 356
-94, -721, 279
-72, -706, 134
0, -660, 143
0, -660, 143
70, -615, 190
86, -629, 258
82, -676, 203
103, -705, 148
103, -705, 148
127, -688, 47
132, -652, 60
165, -593, 115
166, -649, 177
137, -738, 188
172, -678, 60
172, -678, 60
261, -554, -13
332, -466, -17
349, -465, -7
364, -457, 25
410, -406, 88
410, -406, 88
392, -459, 55
305, -572, 28
285, -612, 148
377, -588, 318
416, -570, 361
389, -642, 318
389, -642, 318
360, -699, 289
321, -757, 321
330, -712, 468
374, -619, 535
408, -570, 559
368, -659, 521
270, -799, 568
270, -799, 568
276, -862, 660
315, -908, 751
249, -1049, 786
162, -1132, 787
168, -1105, 816
277, -976, 830
326, -975, 947
272, -1051, 1033
234, -1106, 1035
229, -1092, 1107
201, -1090, 1150
-,-,-
84, -803, 649
116, -842, 637
109, -877, 676
69, -978, 593
69, -978, 593
70, -1012, 543
22, -1117, 697
-129, -1330, 801
-232, -1445, 850
-241, -1407, 908
-259, -1389, 874
-303, -1395, 835
-307, -1324, 775
-270, -1192, 716
